model,normalization,surface_type,shift_contrast_energy_minus_js,uncertainty_contrast_entropy_minus_volume,shift_axis_min,shift_axis_max,uncertainty_axis_min,uncertainty_axis_max,threshold,output
quadratic_logistic,T0 robust-z (median and IQR/1.349),direct 4D slice at fixed T0 median within-pair contrasts,0.017985460914512127,-0.00015245248277747923,-7.0545404876433455,1.7617697042191818,-3.757937894068927,3.539626936852353,0.6186444637308668,assets/clark_core4_quadratic_robust_z_transfer.png
l2_logistic,T0 robust-z (median and IQR/1.349),direct 4D slice at fixed T0 median within-pair contrasts,0.017985460914512127,-0.00015245248277747923,-7.0545404876433455,1.7617697042191818,-3.757937894068927,3.539626936852353,0.554261002838559,assets/clark_core4_l2_robust_z_transfer.png
additive_gam,T0 robust-z (median and IQR/1.349),direct 4D slice at fixed T0 median within-pair contrasts,0.017985460914512127,-0.00015245248277747923,-7.0545404876433455,1.7617697042191818,-3.757937894068927,3.539626936852353,0.5879487749417575,assets/clark_core4_gam_robust_z_transfer.png
