model,display_name,representation,feature_count,normalization,features,calibration_n,calibration_positive,calibration_prevalence,calibration_auroc,calibration_auprc,calibration_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_risk_lift,selected_global_t0,future_n,future_unique_questions,future_new_degradation_n,future_prevalence,future_auroc,future_auprc,future_threshold,future_tp,future_fp,future_fn,future_tn,future_precision,future_recall,future_f1,future_risk_lift
quadratic_logistic,Quadratic Logistic,core4_robust_z,4,robust_z,robust_z__energy+robust_z__cluster_js+robust_z__delta_entropy+robust_z__delta_volume,167.0,24.0,0.1437125748502994,0.8053613053613053,0.4515047955314763,0.6186444637308668,0.6428571428571429,0.75,0.6923076923076923,4.4732142857142865,False,341,329,60,0.17595307917888564,0.8598754448398577,0.5576455498188895,0.6186444637308668,49,42,11,239,0.5384615384615384,0.8166666666666667,0.6490066225165563,3.06025641025641
l2_logistic,L2 Logistic,core4_robust_z,4,robust_z,robust_z__energy+robust_z__cluster_js+robust_z__delta_entropy+robust_z__delta_volume,167.0,24.0,0.1437125748502994,0.8190559440559441,0.5257352631493099,0.554261002838559,0.6129032258064516,0.7916666666666666,0.6909090909090909,4.264784946236559,False,341,329,60,0.17595307917888564,0.8830071174377224,0.6169356634105365,0.554261002838559,50,45,10,236,0.5263157894736842,0.8333333333333334,0.6451612903225806,2.9912280701754383
additive_gam,Additive GAM,core4_robust_z,4,robust_z,robust_z__energy+robust_z__cluster_js+robust_z__delta_entropy+robust_z__delta_volume,167.0,24.0,0.1437125748502994,0.8511072261072261,0.4860744508593648,0.5879487749417575,0.6206896551724138,0.75,0.6792452830188679,4.31896551724138,False,341,329,60,0.17595307917888564,0.8529952550415183,0.5305857205171726,0.5879487749417575,48,42,12,239,0.5333333333333333,0.8,0.64,3.031111111111111
elastic_net,Elastic Net,core4_robust_z,4,robust_z,robust_z__energy+robust_z__cluster_js+robust_z__delta_entropy+robust_z__delta_volume,167.0,24.0,0.1437125748502994,0.828088578088578,0.5328679390175302,0.5256562997410354,0.59375,0.7916666666666666,0.6785714285714286,4.131510416666667,False,341,329,60,0.17595307917888564,0.8858540925266903,0.6422952092675179,0.5256562997410354,50,48,10,233,0.5102040816326531,0.8333333333333334,0.6329113924050633,2.899659863945578
extra_trees,Extra Trees,core4_robust_z,4,robust_z,robust_z__energy+robust_z__cluster_js+robust_z__delta_entropy+robust_z__delta_volume,167.0,24.0,0.1437125748502994,0.8412004662004662,0.5329051791938203,0.5817269769013695,0.6666666666666666,0.75,0.7058823529411765,4.638888888888888,True,341,329,60,0.17595307917888564,0.8665183867141162,0.5338308188741964,0.5817269769013695,47,42,13,239,0.5280898876404494,0.7833333333333333,0.6308724832214765,3.0013108614232205
rbf_svm,RBF-SVM,core4_ecdf,4,ecdf,ecdf__energy+ecdf__cluster_js+ecdf__delta_entropy+ecdf__delta_volume,167.0,24.0,0.1437125748502994,0.8310023310023309,0.5061482415344138,0.35702169782727194,0.6071428571428571,0.7083333333333334,0.6538461538461539,4.2247023809523805,False,341,329,60,0.17595307917888564,0.865332147093713,0.664401401919829,0.35702169782727194,44,43,16,238,0.5057471264367817,0.7333333333333333,0.5986394557823129,2.874329501915709
hist_gradient_boosting,HistGradientBoosting,core4_rank_gaussian,4,rank_gaussian,rank_gaussian__energy+rank_gaussian__cluster_js+rank_gaussian__delta_entropy+rank_gaussian__delta_volume,167.0,24.0,0.1437125748502994,0.8796620046620047,0.4507891786957269,0.5469594525013234,0.6,0.75,0.6666666666666666,4.175,False,341,329,60,0.17595307917888564,0.8607651245551603,0.5059827761198357,0.5469594525013234,49,56,11,225,0.4666666666666667,0.8166666666666667,0.593939393939394,2.652222222222222
xgboost,XGBoost,core4_ecdf,4,ecdf,ecdf__energy+ecdf__cluster_js+ecdf__delta_entropy+ecdf__delta_volume,167.0,24.0,0.1437125748502994,0.8997668997668997,0.5361960253888794,0.7460450728734335,0.68,0.7083333333333334,0.6938775510204082,4.731666666666667,False,341,329,60,0.17595307917888564,0.8679418742586003,0.5194560869342377,0.7460450728734335,40,35,20,246,0.5333333333333333,0.6666666666666666,0.5925925925925926,3.031111111111111
mlp,MLP,core4_robust_z,4,robust_z,robust_z__energy+robust_z__cluster_js+robust_z__delta_entropy+robust_z__delta_volume,167.0,24.0,0.1437125748502994,0.7721445221445221,0.5004530432973965,0.6193909280697582,0.6153846153846154,0.6666666666666666,0.64,4.282051282051283,False,341,329,60,0.17595307917888564,0.8600533807829182,0.5629113134789487,0.6193909280697582,53,66,7,215,0.44537815126050423,0.8833333333333333,0.5921787709497207,2.5312324929971988
