model_a,model_b,f1_delta_a_minus_b,ci_low,ci_high,probability_a_better,rounds
additive_gam,quadratic_logistic,-0.009303839541533923,-0.034071324347053504,0.008951463531243709,0.1532,5000
additive_gam,l2_logistic,-0.005719470982892246,-0.040909370310055225,0.02556073216043432,0.3714,5000
additive_gam,extra_trees,0.009099485817626882,-0.013256089656876146,0.034939336155131534,0.7384,5000
