cohort,n,unique_questions,new_degradation_n,prevalence,auroc,auprc,threshold,tp,fp,fn,tn,precision,recall,f1,risk_lift,cluster_bootstrap_valid_rounds,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,f1_ci_low,f1_ci_high,risk_lift_ci_low,risk_lift_ci_high
future_all,320,310,60,0.1875,0.8700320512820513,0.5386822365361714,0.7840434563169185,45,31,15,229,0.5921052631578947,0.75,0.6617647058823529,3.157894736842105,2000.0,0.8168591620595066,0.9177496604297978,0.42904474106328777,0.6730696673302957,0.4868421052631579,0.7014925373134329,0.6333333333333333,0.8548387096774194,0.5713764337851929,0.7482038858708951,2.680169256219343,3.8145985210961277
future_existing_exploratory,134,134,32,0.23880597014925373,0.8866421568627451,0.682324041432484,0.7840434563169185,25,14,7,88,0.6410256410256411,0.78125,0.704225352112676,2.6842948717948723,2000.0,0.815734539969834,0.9486390754640762,0.5123674781999841,0.8536478399574975,0.4883720930232558,0.7906976744186046,0.6332407407407408,0.9166666666666666,0.5756493506493507,0.816933418693982,2.1474113272311213,3.4896266284119104
future_new_confirmatory,186,182,28,0.15053763440860216,0.8535262206148281,0.4334043018687543,0.7840434563169185,20,17,8,141,0.5405405405405406,0.7142857142857143,0.6153846153846154,3.5907335907335907,2000.0,0.7693450530653567,0.9245887681159419,0.302736160907472,0.6135545178223119,0.3714021164021164,0.6944444444444444,0.5384615384615384,0.8823529411764706,0.4561004784688995,0.7407407407407407,2.759045036860308,4.842517482517481
